num_acc,an,mois,jour,hrmn,lum,agg,int,atm,col,lat,long,catr,circ,nbv,vosp,prof,plan,surf,infra,situ,sexe,catv,grav,an_nais
200500000001,2005,1,12,1900,3,2,1,1.0,3.0,5051500.0,294400.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1,7.0,4,1976.0
200500000001,2005,1,12,1900,3,2,1,1.0,3.0,5051500.0,294400.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2,7.0,3,1968.0
200500000001,2005,1,12,1900,3,2,1,1.0,3.0,5051500.0,294400.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1,7.0,1,1964.0
200500000001,2005,1,12,1900,3,2,1,1.0,3.0,5051500.0,294400.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1,7.0,1,2004.0
200500000001,2005,1,12,1900,3,2,1,1.0,3.0,5051500.0,294400.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1,7.0,1,1998.0
200500000001,2005,1,12,1900,3,2,1,1.0,3.0,5051500.0,294400.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2,7.0,1,1991.0
200500000002,2005,1,21,1600,1,2,1,1.0,1.0,5053700.0,280200.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,5.0,1,7.0,1,1955.0
200500000002,2005,1,21,1600,1,2,1,1.0,1.0,5053700.0,280200.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,5.0,1,2.0,3,1979.0
200500000003,2005,1,21,1845,3,1,1,2.0,1.0,5054600.0,280000.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,5.0,1,2.0,1,1983.0
200500000003,2005,1,21,1845,3,1,1,2.0,1.0,5054600.0,280000.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,5.0,1,2.0,3,1956.0
200500000004,2005,1,4,1615,1,1,1,1.0,5.0,5098700.0,240800.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1,7.0,3,1920.0
200500000004,2005,1,4,1615,1,1,1,1.0,5.0,5098700.0,240800.0,3.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,2,7.0,3,1923.0
