mois,jour,hour,lum,int,atm,col,catr,circ,nbv,vosp,surf,infra,situ,lat,long,place,catu,sexe,locp,actp,etatp,catv,victim_age
6.0,12.0,19.0,1.0,1.0,1.0,6.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,28673.0,1.0,1.0,1.0,0.0,0.0,0.0,30.0,34.0
8.0,7.0,10.0,1.0,1.0,1.0,6.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,86849.0,64090.0,1.0,1.0,2.0,0.0,0.0,0.0,7.0,27.0
8.0,7.0,10.0,1.0,1.0,1.0,6.0,3.0,2.0,0.0,0.0,1.0,0.0,1.0,86849.0,64090.0,1.0,3.0,1.0,4.0,3.0,1.0,7.0,45.0
9.0,11.0,16.0,1.0,1.0,1.0,5.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,28673.0,1.0,1.0,1.0,0.0,0.0,0.0,33.0,31.0
9.0,11.0,16.0,1.0,1.0,1.0,5.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,28673.0,1.0,1.0,2.0,0.0,0.0,0.0,7.0,51.0
9.0,11.0,16.0,1.0,1.0,1.0,5.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,28673.0,1.0,1.0,2.0,0.0,0.0,0.0,7.0,40.0
9.0,22.0,16.0,1.0,1.0,1.0,6.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,86860.0,64132.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,14.0
9.0,22.0,16.0,1.0,1.0,1.0,6.0,3.0,2.0,2.0,0.0,1.0,0.0,1.0,86860.0,64132.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,47.0
10.0,25.0,12.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,86806.0,63682.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,20.0
10.0,25.0,12.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,86806.0,63682.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,51.0
